2022-02-01			
name	facturer	price	currency
Товар 5000	Производитель 1	9170.55	$
Товар 5001	Производитель 10	2918.75	Р
Товар 5002	Производитель 1	5894.71	Е
Товар 5003	Производитель 7	2770.39	$
Товар 5004	Производитель 6	2474.27	Е
Товар 5005	Производитель 10	3141.02	Р
Товар 5006	Производитель 10	4475.95	Е
Товар 5007	Производитель 3	3268.37	Е
Товар 5008	Производитель 1	619.24	Р
Товар 5009	Производитель 3	1292.77	Р
Товар 5010	Производитель 12	6702.23	$
Товар 5011	Производитель 1	1273.69	$
Товар 5012	Производитель 8	935.19	$
Товар 5013	Производитель 2	425.25	Е
Товар 5014	Производитель 7	8769.58	Е
Товар 5015	Производитель 4	85.08	Р
Товар 5016	Производитель 2	27.64	$
Товар 5017	Производитель 12	9913.78	Р
Товар 5018	Производитель 7	2356.13	$
Товар 5019	Производитель 8	818.48	$
Товар 5020	Производитель 7	1862.48	Р
Товар 5021	Производитель 6	6899.45	Р
Товар 5022	Производитель 4	1668.85	Р
Товар 5023	Производитель 7	7223.22	Е
Товар 5024	Производитель 8	2798.72	$
Товар 5025	Производитель 9	8870.78	$
Товар 5026	Производитель 4	4097.11	Р
Товар 5027	Производитель 3	8257.55	$
Товар 5028	Производитель 11	9981.9	$
Товар 5029	Производитель 9	5598	$
Товар 5030	Производитель 7	8328.57	$
Товар 5031	Производитель 1	5139.94	$
Товар 5032	Производитель 4	6323.71	$
Товар 5033	Производитель 12	7118.06	$
Товар 5034	Производитель 3	8705.02	Е
Товар 5035	Производитель 8	4213.53	$
Товар 5036	Производитель 6	2047.05	Е
Товар 5037	Производитель 10	9998.54	$
Товар 5038	Производитель 10	4612.55	Е
Товар 5039	Производитель 9	9043.4	$
Товар 5040	Производитель 11	8932.96	Е
Товар 5041	Производитель 4	465.5	$
Товар 5042	Производитель 9	6050.08	Е
Товар 5043	Производитель 2	1437.99	$
Товар 5044	Производитель 9	1686.75	Е
Товар 5045	Производитель 5	6114.02	Е
Товар 5046	Производитель 8	3579.23	Е
Товар 5047	Производитель 10	1259.91	Р
Товар 5048	Производитель 8	4153.74	Р
Товар 5049	Производитель 2	8281.64	Е
Товар 5050	Производитель 4	380.23	$
Товар 5051	Производитель 12	6814	$
Товар 5052	Производитель 2	4853.82	Е
Товар 5053	Производитель 4	4327.88	$
Товар 5054	Производитель 9	5176.83	$
Товар 5055	Производитель 2	7294.09	Р
Товар 5056	Производитель 10	3752.78	$
Товар 5057	Производитель 5	3281.97	$
Товар 5058	Производитель 10	1232.27	$
Товар 5059	Производитель 5	9968.66	Е
Товар 5060	Производитель 9	4221.47	Е
Товар 5061	Производитель 4	8563.98	Р
Товар 5062	Производитель 1	1138.95	$
Товар 5063	Производитель 4	9888.14	Е
Товар 5064	Производитель 1	299.93	Р
Товар 5065	Производитель 8	7014.92	$
Товар 5066	Производитель 1	3095.19	$
Товар 5067	Производитель 3	8212.6	$
Товар 5068	Производитель 9	3437.58	$
Товар 5069	Производитель 7	3266.07	Е
Товар 5070	Производитель 7	8470.64	Е
Товар 5071	Производитель 1	9467.17	Е
Товар 5072	Производитель 8	8666.07	$
Товар 5073	Производитель 4	7672.29	Е
Товар 5074	Производитель 5	9799.37	Е
Товар 5075	Производитель 3	6797.48	Е
Товар 5076	Производитель 5	9215.39	$
Товар 5077	Производитель 4	3698.97	Е
Товар 5078	Производитель 4	7102.06	Е
Товар 5079	Производитель 8	8292.59	Р
Товар 5080	Производитель 1	1651.46	Е
Товар 5081	Производитель 6	8217.22	Е
Товар 5082	Производитель 7	2787.84	Е
Товар 5083	Производитель 2	1162.5	Р
Товар 5084	Производитель 2	7728.54	$
Товар 5085	Производитель 1	6895.41	$
Товар 5086	Производитель 11	2962.28	Е
Товар 5087	Производитель 2	805.97	Р
Товар 5088	Производитель 5	4495.84	Р
Товар 5089	Производитель 6	7906.44	$
Товар 5090	Производитель 7	1127.24	Е
Товар 5091	Производитель 11	6705.5	Е
Товар 5092	Производитель 3	6004.38	Р
Товар 5093	Производитель 10	9302.26	Р
Товар 5094	Производитель 11	2062.73	$
Товар 5095	Производитель 12	3857.44	Е
Товар 5096	Производитель 8	2901.12	$
Товар 5097	Производитель 11	7939	Р
Товар 5098	Производитель 2	6789.93	Р
Товар 5099	Производитель 3	8840.99	Е
Товар 5100	Производитель 5	3951.59	Е
Товар 5101	Производитель 4	7420.22	Е
Товар 5102	Производитель 1	6924.65	Р
Товар 5103	Производитель 6	3626.15	$
Товар 5104	Производитель 2	3126.59	Р
Товар 5105	Производитель 12	2221	Р
